order_key,customer_key,channel_key,store_key,billing_address_key,shipping_address_key,total_amount,subtotal,tax_amount,shipping_fee,currency_code,status,order_date
1,356,1,,1914,599,63636.0,51600.0,10836.0,1200.0,ARS,FULFILLED,2024-11-26 07:50:47
2,601,1,,2807,2538,78146.4,63840.0,13406.4,900.0,ARS,CREATED,2024-01-31 01:00:04
3,1234,1,,130,3067,32064.6,25260.0,5304.6,1500.0,ARS,FULFILLED,2025-02-26 19:39:44
4,156,1,,2669,511,30855.0,25500.0,5355.0,0.0,ARS,FULFILLED,2025-03-01 17:35:36
5,616,2,4,297,4,53451.75,44175.0,9276.75,0.0,ARS,FULFILLED,2024-03-30 02:46:36
6,614,2,2,727,2,29040.0,24000.0,5040.0,0.0,ARS,FULFILLED,2024-03-12 20:54:35
7,188,1,,436,1152,18442.5,14250.0,2992.5,1200.0,ARS,REFUNDED,2025-07-15 22:55:56
8,17,1,,,2581,17535.0,13500.0,2835.0,1200.0,ARS,FULFILLED,2024-11-11 20:15:00
9,1148,1,,1022,494,109011.0,89100.0,18711.0,1200.0,ARS,FULFILLED,2024-08-25 03:29:28
10,1037,1,,101,978,16718.25,12825.0,2693.25,1200.0,ARS,PAID,2024-03-30 10:34:46
11,1336,2,1,,1,17787.0,14700.0,3087.0,0.0,ARS,REFUNDED,2024-03-13 02:19:39
12,1239,2,4,1163,4,41309.4,34140.0,7169.4,0.0,ARS,FULFILLED,2025-06-17 03:46:29
13,1426,2,3,2393,3,42688.8,35280.0,7408.8,0.0,ARS,FULFILLED,2024-08-09 14:38:29
14,862,2,1,346,1,123283.88,101887.5,21396.38,0.0,ARS,PAID,2025-03-23 11:26:14
15,181,1,,1242,2921,15129.6,11760.0,2469.6,900.0,ARS,PAID,2025-08-18 12:46:12
16,700,1,,2272,807,29659.2,23520.0,4939.2,1200.0,ARS,CANCELLED,2024-09-15 12:43:40
17,475,1,,589,2562,28642.8,22680.0,4762.8,1200.0,ARS,FULFILLED,2025-08-27 22:46:32
18,753,2,2,2056,2,80912.7,66870.0,14042.7,0.0,ARS,FULFILLED,2025-02-19 14:36:04
19,1151,1,,1716,1695,100107.9,81990.0,17217.9,900.0,ARS,CANCELLED,2024-07-14 15:20:18
20,793,1,,1527,2616,46023.24,37044.0,7779.24,1200.0,ARS,FULFILLED,2025-04-21 04:12:18
21,866,1,,2937,2378,59895.0,49500.0,10395.0,0.0,ARS,FULFILLED,2024-05-06 01:36:24
22,1110,1,,2250,1549,29659.2,23520.0,4939.2,1200.0,ARS,FULFILLED,2025-09-23 22:05:51
23,854,2,1,1466,1,29040.0,24000.0,5040.0,0.0,ARS,REFUNDED,2024-03-31 02:16:34
24,379,2,3,2102,3,82764.0,68400.0,14364.0,0.0,ARS,FULFILLED,2025-07-05 19:42:57
25,441,2,2,532,2,14229.6,11760.0,2469.6,0.0,ARS,FULFILLED,2025-03-02 15:57:05
26,125,1,,1985,516,86005.88,70087.5,14718.38,1200.0,ARS,FULFILLED,2025-08-26 06:57:45
27,1201,1,,3168,301,17535.0,13500.0,2835.0,1200.0,ARS,FULFILLED,2024-12-12 23:59:48
28,1055,1,,2325,1862,28488.0,22800.0,4788.0,900.0,ARS,FULFILLED,2024-12-02 01:44:59
29,382,1,,342,1423,14520.0,12000.0,2520.0,0.0,ARS,FULFILLED,2024-05-17 06:11:07
30,1456,1,,414,1425,79235.4,64740.0,13595.4,900.0,ARS,FULFILLED,2025-09-14 02:43:49
31,1377,2,4,2585,4,41382.0,34200.0,7182.0,0.0,ARS,PAID,2025-06-09 19:02:55
32,1375,2,4,928,4,28459.2,23520.0,4939.2,0.0,ARS,PAID,2025-05-10 11:15:07
33,821,1,,2185,924,33870.0,27000.0,5670.0,1200.0,ARS,FULFILLED,2025-03-15 14:37:22
34,1475,2,4,2316,4,17787.0,14700.0,3087.0,0.0,ARS,FULFILLED,2024-06-08 03:23:04
35,634,2,2,1160,2,103318.88,85387.5,17931.38,0.0,ARS,FULFILLED,2024-11-17 01:24:31
36,585,2,1,2440,1,26136.0,21600.0,4536.0,0.0,ARS,FULFILLED,2024-01-12 05:54:27
37,180,1,,3142,1863,61158.0,49800.0,10458.0,900.0,ARS,FULFILLED,2024-09-24 18:59:17
38,482,1,,1548,2325,31082.16,24696.0,5186.16,1200.0,ARS,FULFILLED,2024-01-26 00:07:55
