order_item_key,customer_key,channel_key,store_key,product_key,quantity,unit_price,order_date
1,356,1,,2,2,15000.0,2024-11-26 07:50:47
2,356,1,,1,2,12000.0,2024-11-26 07:50:47
3,601,1,,1,1,12000.0,2024-01-31 01:00:04
4,601,1,,2,2,15000.0,2024-01-31 01:00:04
5,601,1,,1,2,12600.0,2024-01-31 01:00:04
6,1234,1,,1,1,12000.0,2025-02-26 19:39:44
7,1234,1,,2,1,15000.0,2025-02-26 19:39:44
8,156,1,,1,1,12000.0,2025-03-01 17:35:36
9,156,1,,2,1,15000.0,2025-03-01 17:35:36
10,616,2,4,2,2,15750.0,2024-03-30 02:46:36
11,616,2,4,2,1,15000.0,2024-03-30 02:46:36
12,614,2,2,1,2,12000.0,2024-03-12 20:54:35
13,188,1,,2,1,15000.0,2025-07-15 22:55:56
14,17,1,,2,1,15000.0,2024-11-11 20:15:00
15,1148,1,,1,3,12000.0,2024-08-25 03:29:28
16,1148,1,,2,3,15000.0,2024-08-25 03:29:28
17,1148,1,,1,1,12600.0,2024-08-25 03:29:28
18,1037,1,,2,1,13500.0,2024-03-30 10:34:46
19,1336,2,1,2,1,15000.0,2024-03-13 02:19:39
20,1239,2,4,2,1,15000.0,2025-06-17 03:46:29
21,1239,2,4,1,2,10800.0,2025-06-17 03:46:29
22,1426,2,3,1,3,12000.0,2024-08-09 14:38:29
23,862,2,1,2,3,15750.0,2025-03-23 11:26:14
24,862,2,1,1,3,12000.0,2025-03-23 11:26:14
25,862,2,1,1,2,12000.0,2025-03-23 11:26:14
26,181,1,,1,1,12000.0,2025-08-18 12:46:12
27,700,1,,1,2,12000.0,2024-09-15 12:43:40
28,475,1,,1,2,12600.0,2025-08-27 22:46:32
29,753,2,2,2,2,15750.0,2025-02-19 14:36:04
30,753,2,2,1,3,12000.0,2025-02-19 14:36:04
31,1151,1,,2,1,13500.0,2024-07-14 15:20:18
32,1151,1,,1,2,13200.0,2024-07-14 15:20:18
33,1151,1,,2,3,15000.0,2024-07-14 15:20:18
34,793,1,,1,3,12600.0,2025-04-21 04:12:18
35,866,1,,2,3,16500.0,2024-05-06 01:36:24
36,1110,1,,1,2,12000.0,2025-09-23 22:05:51
37,854,2,1,1,2,12000.0,2024-03-31 02:16:34
38,379,2,3,2,2,15000.0,2025-07-05 19:42:57
39,379,2,3,1,1,12000.0,2025-07-05 19:42:57
40,379,2,3,2,2,15000.0,2025-07-05 19:42:57
41,441,2,2,1,1,12000.0,2025-03-02 15:57:05
42,125,1,,2,3,15750.0,2025-08-26 06:57:45
43,125,1,,1,2,12600.0,2025-08-26 06:57:45
44,1201,1,,2,1,15000.0,2024-12-12 23:59:48
45,1055,1,,1,2,12000.0,2024-12-02 01:44:59
46,382,1,,1,1,12000.0,2024-05-17 06:11:07
47,1456,1,,2,2,16500.0,2025-09-14 02:43:49
48,1456,1,,1,3,12000.0,2025-09-14 02:43:49
49,1377,2,4,1,3,12000.0,2025-06-09 19:02:55
50,1375,2,4,1,2,12000.0,2025-05-10 11:15:07
51,821,1,,2,2,15000.0,2025-03-15 14:37:22
52,1475,2,4,2,1,15000.0,2024-06-08 03:23:04
53,634,2,2,2,3,15750.0,2024-11-17 01:24:31
54,634,2,2,2,3,15000.0,2024-11-17 01:24:31
55,585,2,1,1,2,12000.0,2024-01-12 05:54:27
56,180,1,,1,2,12000.0,2024-09-24 18:59:17
57,180,1,,2,2,15000.0,2024-09-24 18:59:17
58,482,1,,1,2,12600.0,2024-01-26 00:07:55
59,620,2,1,1,1,12000.0,2024-02-02 22:29:21
60,603,2,1,1,3,10800.0,2024-05-23 04:42:33
61,603,2,1,2,2,15000.0,2024-05-23 04:42:33
62,1028,1,,1,1,12000.0,2024-03-04 06:58:13
63,1005,2,3,2,1,15000.0,2024-01-14 09:59:03
64,1005,2,3,1,1,10800.0,2024-01-14 09:59:03
65,790,1,,1,1,10800.0,2024-09-27 21:17:36
66,665,1,,1,3,13200.0,2024-05-21 10:46:11
67,562,1,,2,2,15000.0,2025-09-02 12:32:15
68,562,1,,2,3,15000.0,2025-09-02 12:32:15
69,998,1,,1,3,12000.0,2024-02-01 13:14:28
70,276,1,,2,2,16500.0,2024-01-12 03:01:18
71,1469,2,2,1,1,12000.0,2024-03-08 08:53:37
72,408,2,2,1,2,12000.0,2024-09-13 16:10:57
73,1360,2,2,2,3,13500.0,2024-08-11 19:35:54
74,1423,1,,2,2,15000.0,2024-07-25 00:25:00
75,741,1,,2,2,15750.0,2024-09-15 06:10:33
76,969,1,,1,3,12000.0,2024-11-04 03:12:44
77,969,1,,1,3,12000.0,2024-11-04 03:12:44
78,729,1,,2,2,15000.0,2024-08-10 06:19:56
79,251,2,4,1,1,12600.0,2024-03-16 02:19:59
80,1087,2,1,2,3,15000.0,2025-07-23 20:26:45
81,659,1,,1,2,12000.0,2025-04-12 15:37:15
82,659,1,,2,3,16500.0,2025-04-12 15:37:15
83,338,2,4,2,1,15000.0,2025-02-21 05:51:12
84,338,2,4,2,1,15750.0,2025-02-21 05:51:12
85,1068,1,,2,1,16500.0,2024-09-21 03:01:24
86,1068,1,,2,2,15000.0,2024-09-21 03:01:24
87,958,1,,1,3,12000.0,2024-07-01 13:26:37
88,958,1,,2,2,15000.0,2024-07-01 13:26:37
89,428,2,4,1,3,10800.0,2024-02-25 20:21:42
90,1337,1,,1,1,12000.0,2025-03-01 10:20:56
91,1442,2,3,2,3,15000.0,2024-12-23 12:02:28
92,939,1,,1,3,12600.0,2024-05-30 10:17:58
93,1409,1,,2,1,16500.0,2025-03-04 14:45:27
94,1062,1,,1,3,12000.0,2024-09-17 00:43:41
95,988,1,,1,3,12000.0,2024-01-26 06:33:17
96,778,1,,2,1,15000.0,2025-04-11 16:23:15
97,77,1,,2,1,15750.0,2024-12-01 10:53:38
98,77,1,,1,2,12000.0,2024-12-01 10:53:38
99,77,1,,2,3,15000.0,2024-12-01 10:53:38
100,700,1,,2,3,15000.0,2024-06-12 09:38:45
101,425,1,,1,1,12000.0,2025-07-25 23:51:05
102,1271,2,3,1,1,12000.0,2024-07-22 18:00:06
103,1129,1,,2,1,13500.0,2024-02-02 08:20:17
104,1224,1,,2,1,15750.0,2024-12-07 21:18:19
105,446,1,,1,2,12600.0,2024-12-14 04:41:02
106,446,1,,1,3,12000.0,2024-12-14 04:41:02
107,867,1,,2,2,15000.0,2025-03-22 18:16:20
108,127,1,,1,2,12000.0,2024-03-01 10:21:11
109,874,2,1,1,2,12000.0,2024-12-04 22:39:17
110,814,1,,2,1,15000.0,2025-01-09 21:43:22
111,814,1,,1,2,13200.0,2025-01-09 21:43:22
112,1189,1,,1,1,10800.0,2025-09-16 02:56:19
113,1189,1,,1,2,12000.0,2025-09-16 02:56:19
114,584,1,,2,1,15000.0,2024-11-11 06:28:22
115,1433,1,,1,2,12000.0,2025-02-02 01:45:35
116,1433,1,,2,2,15000.0,2025-02-02 01:45:35
117,670,1,,1,3,12000.0,2025-09-21 10:27:35
